full_id,date,consumption,surface,temp
efzmmkseyekq,2021-01-01,3216.166666666667,3953.1,-0.10293579
efzmmkseyekq,2021-01-02,1870.3333333333333,3953.1,0.7980957
efzmmkseyekq,2021-01-03,1795.6666666666667,3953.1,2.196289
efzmmkseyekq,2021-01-04,3195.6666666666665,3953.1,1.8711243
efzmmkseyekq,2021-01-05,3580.833333333333,3953.1,2.027771
efzmmkseyekq,2021-01-06,2947.5,3953.1,2.227295
efzmmkseyekq,2021-01-07,3731.5,3953.1,1.1851807
efzmmkseyekq,2021-01-08,3573.1666666666665,3953.1,-0.39431763
efzmmkseyekq,2021-01-09,2200.333333333333,3953.1,0.27435303
efzmmkseyekq,2021-01-10,2182.5,3953.1,0.8902893
efzmmkseyekq,2021-01-11,3473.0,3953.1,2.395874
efzmmkseyekq,2021-01-12,3420.5,3953.1,6.8972473
efzmmkseyekq,2021-01-13,3069.5,3953.1,6.667328
efzmmkseyekq,2021-01-14,3007.333333333333,3953.1,8.186798
efzmmkseyekq,2021-01-15,3571.666666666667,3953.1,1.1344604
efzmmkseyekq,2021-01-16,2236.0,3953.1,0.79138184
efzmmkseyekq,2021-01-17,2049.166666666667,3953.1,4.4699097
efzmmkseyekq,2021-01-18,3186.5,3953.1,3.730957
efzmmkseyekq,2021-01-19,3276.3333333333335,3953.1,5.615906
efzmmkseyekq,2021-01-20,2488.3333333333335,3953.1,8.877563
efzmmkseyekq,2021-01-21,2675.0,3953.1,8.473572
efzmmkseyekq,2021-01-22,1958.3333333333335,3953.1,5.386017
efzmmkseyekq,2021-01-23,1365.8333333333333,3953.1,2.704071
efzmmkseyekq,2021-01-24,1488.3333333333333,3953.1,0.69247437
efzmmkseyekq,2021-01-25,2542.1666666666665,3953.1,2.053009
efzmmkseyekq,2021-01-26,3685.0,3953.1,1.4818115
efzmmkseyekq,2021-01-27,3400.0,3953.1,5.4769287
efzmmkseyekq,2021-01-28,2753.6666666666665,3953.1,11.151703
efzmmkseyekq,2021-01-29,2496.5,3953.1,9.6539
efzmmkseyekq,2021-01-30,1547.5,3953.1,9.253601
efzmmkseyekq,2021-01-31,1579.1666666666667,3953.1,8.235474
efzmmkseyekq,2021-02-01,2486.166666666667,3953.1,8.358948
efzmmkseyekq,2021-02-02,2522.8333333333335,3953.1,10.975952
efzmmkseyekq,2021-02-03,2248.5,3953.1,10.176575
efzmmkseyekq,2021-02-04,2455.0,3953.1,8.078735
efzmmkseyekq,2021-02-05,2304.3333333333335,3953.1,8.298187
efzmmkseyekq,2021-02-06,1709.0,3953.1,7.1691284
efzmmkseyekq,2021-02-07,1949.3333333333333,3953.1,3.10437
efzmmkseyekq,2021-02-08,3353.666666666667,3953.1,-0.7310791
efzmmkseyekq,2021-02-09,4057.6666666666665,3953.1,-1.7564697
efzmmkseyekq,2021-02-10,4512.666666666667,3953.1,-2.8894653
efzmmkseyekq,2021-02-11,4562.166666666667,3953.1,-2.135254
efzmmkseyekq,2021-02-12,4250.833333333334,3953.1,-2.3771362
efzmmkseyekq,2021-02-13,2574.0,3953.1,-2.845642
efzmmkseyekq,2021-02-14,2524.166666666667,3953.1,-0.79901123
efzmmkseyekq,2021-02-15,3303.1666666666665,3953.1,5.1307983
efzmmkseyekq,2021-02-16,2984.166666666667,3953.1,7.5846252
efzmmkseyekq,2021-02-17,2777.8333333333335,3953.1,8.79834
efzmmkseyekq,2021-02-18,2838.833333333333,3953.1,8.32428
efzmmkseyekq,2021-02-19,2283.0,3953.1,8.264648
efzmmkseyekq,2021-02-20,1251.8333333333333,3953.1,12.204956
efzmmkseyekq,2021-02-21,1200.6666666666665,3953.1,11.334991
efzmmkseyekq,2021-02-22,2089.0,3953.1,11.36908
efzmmkseyekq,2021-02-23,2179.1666666666665,3953.1,13.070984
efzmmkseyekq,2021-02-24,2001.0,3953.1,12.987793
efzmmkseyekq,2021-02-25,1870.5,3953.1,11.497437
efzmmkseyekq,2021-02-26,1837.1666666666667,3953.1,8.731964
efzmmkseyekq,2021-02-27,1092.0,3953.1,5.108307
efzmmkseyekq,2021-02-28,1151.5,3953.1,5.5599365
efzmmkseyekq,2021-03-01,2094.333333333333,3953.1,6.105957
efzmmkseyekq,2021-03-02,2199.0,3953.1,7.7753906
efzmmkseyekq,2021-03-03,1859.6666666666665,3953.1,9.752594
efzmmkseyekq,2021-03-04,2373.8333333333335,3953.1,8.0252075
efzmmkseyekq,2021-03-05,2708.333333333333,3953.1,4.444641
efzmmkseyekq,2021-03-06,1614.3333333333333,3953.1,3.1552124
efzmmkseyekq,2021-03-07,1659.8333333333333,3953.1,2.517273
efzmmkseyekq,2021-03-08,2853.0,3953.1,2.5228577
efzmmkseyekq,2021-03-09,2893.8333333333335,3953.1,4.828308
efzmmkseyekq,2021-03-10,2759.666666666667,3953.1,5.5118713
efzmmkseyekq,2021-03-11,2513.5,3953.1,10.074524
efzmmkseyekq,2021-03-12,2474.1666666666665,3953.1,7.7444763
efzmmkseyekq,2021-03-13,1649.5,3953.1,7.6685486
efzmmkseyekq,2021-03-14,1712.1666666666665,3953.1,6.7216187
efzmmkseyekq,2021-03-15,2409.3333333333335,3953.1,8.345612
efzmmkseyekq,2021-03-16,2818.1666666666665,3953.1,6.7742004
efzmmkseyekq,2021-03-17,2583.5,3953.1,6.982544
efzmmkseyekq,2021-03-18,3058.0,3953.1,5.69751
efzmmkseyekq,2021-03-19,2883.1666666666665,3953.1,5.3376465
efzmmkseyekq,2021-03-20,1826.1666666666665,3953.1,3.6845398
efzmmkseyekq,2021-03-21,1758.1666666666665,3953.1,6.4072266
efzmmkseyekq,2021-03-22,2779.1666666666665,3953.1,5.4995728
efzmmkseyekq,2021-03-23,2455.5,3953.1,6.773712
efzmmkseyekq,2021-03-24,1886.6666666666667,3953.1,8.139557
efzmmkseyekq,2021-03-25,2062.0,3953.1,8.07373
efzmmkseyekq,2021-03-26,1815.1666666666667,3953.1,8.307892
efzmmkseyekq,2021-03-27,1298.3333333333333,3953.1,7.5121765
efzmmkseyekq,2021-03-28,1109.5,3953.1,9.928253
efzmmkseyekq,2021-03-29,1548.8333333333333,3953.1,11.698151
efzmmkseyekq,2021-03-30,1440.6666666666667,3953.1,12.803406
efzmmkseyekq,2021-03-31,1180.1666666666667,3953.1,14.488342
efzmmkseyekq,2021-04-01,1176.0,3953.1,15.284241
efzmmkseyekq,2021-04-02,1606.0,3953.1,8.571716
efzmmkseyekq,2021-04-03,991.6666666666667,3953.1,6.564331
efzmmkseyekq,2021-04-04,1073.0,3953.1,6.552429
efzmmkseyekq,2021-04-05,2230.3333333333335,3953.1,4.509094
efzmmkseyekq,2021-04-06,2986.5,3953.1,2.2652588
efzmmkseyekq,2021-04-07,2702.1666666666665,3953.1,3.3779907
efzmmkseyekq,2021-04-08,2332.1666666666665,3953.1,6.606201
efzmmkseyekq,2021-04-09,1807.3333333333333,3953.1,9.325989
efzmmkseyekq,2021-04-10,1062.0,3953.1,10.108368
efzmmkseyekq,2021-04-11,1177.6666666666667,3953.1,6.0263977
efzmmkseyekq,2021-04-12,2423.6666666666665,3953.1,5.053253
efzmmkseyekq,2021-04-13,2632.3333333333335,3953.1,5.236267
efzmmkseyekq,2021-04-14,2529.333333333333,3953.1,5.5805664
efzmmkseyekq,2021-04-15,2571.1666666666665,3953.1,5.3471375
efzmmkseyekq,2021-04-16,2276.8333333333335,3953.1,6.017456
efzmmkseyekq,2021-04-17,1269.1666666666667,3953.1,7.9245605
efzmmkseyekq,2021-04-18,1241.6666666666667,3953.1,7.604309
efzmmkseyekq,2021-04-19,1847.1666666666667,3953.1,9.134857
efzmmkseyekq,2021-04-20,1693.1666666666667,3953.1,11.133789
efzmmkseyekq,2021-04-21,1596.0,3953.1,11.292267
efzmmkseyekq,2021-04-22,1881.0,3953.1,10.0997925
efzmmkseyekq,2021-04-23,1697.6666666666667,3953.1,10.795898
efzmmkseyekq,2021-04-24,988.3333333333334,3953.1,11.548431
efzmmkseyekq,2021-04-25,1054.5,3953.1,10.306091
efzmmkseyekq,2021-04-26,1726.6666666666667,3953.1,10.545746
efzmmkseyekq,2021-04-27,1708.8333333333333,3953.1,11.166748
efzmmkseyekq,2021-04-28,1532.0,3953.1,11.110962
efzmmkseyekq,2021-04-29,1812.6666666666667,3953.1,8.674927
efzmmkseyekq,2021-04-30,1721.6666666666667,3953.1,9.116638
efzmmkseyekq,2021-05-01,960.3333333333334,3953.1,7.9697266
efzmmkseyekq,2021-05-02,979.8333333333334,3953.1,8.0355835
efzmmkseyekq,2021-05-03,1624.8333333333333,3953.1,10.46283
